RepeatUnitSMILES,td_value
*CCC[Si](C)(C)O[Si](C)(C)CCCN1C(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc6c(c5)C(=O)N(c5cc(C(=O)NCCC[Si](OCC)(OCC)OCC)cc(N7C(=O)c8ccc(Oc9ccc(C(C)(C)c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)cc9)cc8C7=O)c5)C6=O)cc4)cc3)cc2C1=O,454
*Cc1cccc(*)c1Oc1ccc(C#N)c(C#N)c1,459.1
*Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C(*)c3ccsc3)c3ccsc3)cc2)c2ccccc2)cc1,347
*Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C(*)c3ccc4ccccc4c3)c3ccc4ccccc4c3)cc2)c2ccccc2)cc1,354
*Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C(*)c3ccc(F)cc3F)c3ccc(F)cc3F)cc2)c2ccccc2)cc1,338
*Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C(*)c3ccc(Cl)cc3)c3ccc(Cl)cc3)cc2)c2ccccc2)cc1,347
*Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C(*)c3ccc(C(F)(F)F)cc3)c3ccc(C(F)(F)F)cc3)cc2)c2ccccc2)cc1,298
*Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(\*)c3cc(OC)cc(OC)c3)c3cc(OC)cc(OC)c3)cc2)c2ccccc2)cc1,315
*Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(\*)c3ccc(C(=O)OCC)cc3)c3ccc(C(=O)OCC)cc3)cc2)c2ccccc2)cc1,306
*Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(\*)c3cc(OC)cc(OC)c3)c3cc(OC)cc(OC)c3)cc2)c2ccccc2)cc1,283
*Cc1ccc(C(=C(c2ccccc2)c2ccc(/C(=C\c3ccc(C=C(*)c4cc(OC)cc(OC)c4)cc3)c3cc(OC)cc(OC)c3)cc2)c2ccccc2)cc1,364
*Cc1c(F)ccc(*)c1Oc1ccc(C#N)c(C#N)c1,452.4
*c1cccc(Oc2cccc(Oc3cccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)c2)c1,513.8
*c1cccc(Oc2ccc(N3C(=O)c4cccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)c4C3=O)cc2)c1,557
*c1cccc(Oc2ccc(N3C(=O)c4ccc(Oc5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2)c1,555
*c1cccc(Oc2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2)c1,551
*c1cccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)c1,550
*c1cccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cccc(-c6cn(Cc7ccc(Cn8cc(*)nn8)cc7)nn6)c4)C5=O)cc3C2=O)c1,369
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(c6cccc(-c8cn(Cc9ccc(Cn%10cc(*)nn%10)cc9)nn8)c6)C7=O)cc5)cc4)cc3C2=O)c1,365
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(c6cccc(-c8cn(Cc9ccc(-c%10ccc(Cn%11cc(*)nn%11)cc%10)cc9)nn8)c6)C7=O)cc5)cc4)cc3C2=O)c1,377
*c1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,577
*c1cccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4cccc(-c6cn(Cc7ccc(Cn8cc(*)nn8)cc7)nn6)c4)C5=O)cc3C2=O)c1,369
*c1cccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4cccc(-c6cn(Cc7ccc(-c8ccc(Cn9cc(*)nn9)cc8)cc7)nn6)c4)C5=O)cc3C2=O)c1,376
*c1cccc(C#Cc2cccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,483.5
*c1cccc(C#Cc2cccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)c1,501.5
*c1cccc(C#Cc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,470.5
*c1cccc(C#C[Si](C)(C#Cc2ccc3[nH]c4ccc(*)cc4c3c2)C=C)c1,680
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5cccc(-c6ccc7c(c6)C(=O)N(*)C7=O)c5C4=O)cc3)c2)cc1,560.14
*c1ccc(Oc2cccc(Oc3ccc(-c4nc5cc(S(=O)(=O)c6ccc7nc(*)[nH]c7c6)ccc5[nH]4)cc3)c2C#N)cc1,508.4
*c1ccc(Oc2cccc(N3C(=O)c4cccc(-c5ccc6c(c5)C(=O)N(*)C6=O)c4C3=O)c2)cc1,559
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3C(F)(F)F)c(-c3cccc(C(F)(F)F)c3)c2)c(C(F)(F)F)c1,562.3333333
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3C(F)(F)F)c(-c3cccc(C(F)(F)F)c3)c2)c(C(F)(F)F)c1,543.3333333
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2-c2ccccc2)cc1,527.5
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5ccc(Oc6cccc7c6C(=O)N(*)C7=O)cc5)c4C3=O)cc2)cc1,511
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5ccc(Oc6cccc7c6C(=O)N(*)C7=O)cc5)c4C3=O)cc2)c(-c2ccccc2)c1,507
*c1ccc(Oc2ccc(N3C(=O)c4cccc(-c5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,548.3333333
*c1ccc(Oc2ccc(-n3c(=O)c4ccc5c(=O)n(*)c(=O)c5c4c3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,531.8
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4C3=O)cc2)cc1,534.25
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4C3=O)cc2)c(-c2ccccc2)c1,530
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,542.25
